time,pos_x,pos_y,angle,vx,vy,omega,translation_x,translation_y,orientation_error,motor_force_x,motor_force_y,limit_force_x,limit_force_y,limit_spring_force_x,limit_spring_force_y,motor_mode_x,motor_mode_y,motor_target_x,motor_target_y,orientation_target,limit_state_x,limit_state_y,limit_lower_y,limit_upper_y,stage
1.824000,0.038877,-0.093595,0.220000,-0.263742,0.020813,0.000000,0.038877,-0.093595,0.000000,11.217600,-36.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.844000,0.032922,-0.091925,0.220000,-0.229951,0.082335,0.000000,0.032922,-0.091925,0.000000,28.063322,-0.360052,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.864000,0.027598,-0.090041,0.220000,-0.287141,0.145011,0.000000,0.027598,-0.090041,0.000000,-9.563202,36.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.884000,0.022711,-0.088466,0.220000,-0.305927,0.078034,0.000000,0.022711,-0.088466,0.000000,-27.484198,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.904000,0.018082,-0.087206,0.220000,-0.226093,0.010144,0.000000,0.018082,-0.087206,0.000000,13.417489,-36.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.924000,0.012931,-0.085729,0.220000,-0.293772,0.071942,0.000000,0.012931,-0.085729,0.000000,-24.652245,-0.602374,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.944000,0.008616,-0.084040,0.220000,-0.218473,0.136018,0.000000,0.008616,-0.084040,0.000000,9.646431,36.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.964000,0.004162,-0.082657,0.220000,-0.182288,0.068230,0.000000,0.004162,-0.082657,0.000000,24.219168,0.000738,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.984000,-0.000810,-0.081570,0.220000,-0.240889,0.001663,0.000000,-0.000810,-0.081570,0.000000,-9.155064,-36.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
2.004000,-0.004818,-0.080277,0.220000,-0.263899,0.063812,0.000000,-0.004818,-0.080277,0.000000,-28.689904,-0.305676,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
2.024000,-0.008582,-0.078757,0.220000,-0.187974,0.127215,0.000000,-0.008582,-0.078757,0.000000,11.146539,36.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
2.044000,-0.013055,-0.077535,0.220000,-0.157094,0.060546,0.000000,-0.013055,-0.077535,0.000000,27.652676,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
2.064000,-0.016938,-0.076617,0.220000,-0.217575,-0.006908,0.000000,-0.016938,-0.076617,0.000000,-10.399954,-36.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
2.084000,-0.020420,-0.075471,0.220000,-0.234854,0.055664,0.000000,-0.020420,-0.075471,0.000000,-26.229358,-0.537296,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
2.104000,-0.024255,-0.074103,0.220000,-0.158202,0.120181,0.000000,-0.024255,-0.074103,0.000000,13.504765,36.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
